r,g,b,hex
3,4,26,#03041A
17,20,51,#111433
30,43,82,#1E2B52
42,60,102,#2A3C66
60,85,128,#3C5580
74,106,148,#4A6A94
91,128,166,#5B80A6
112,156,186,#709CBA
133,183,204,#85B7CC
164,212,224,#A4D4E0
199,236,242,#C7ECF2
237,255,255,#EDFFFF
